OBJECTID,LAND,BEZ,LOR,STRASSE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
49090,11,12,12301203,Wittenau S�d,2019,1,13,6,3,5,3,0,1,1,0,0,0,0,1,794062,2837,5835083,823
49091,11,3,3040818,Pankow S�d,2019,1,9,5,3,5,3,0,1,1,0,0,0,0,0,799130,4007,5832327,415
49093,11,12,12103115,Breitkopfbecken,2019,3,21,6,3,0,1,2,1,0,0,0,0,0,0,795437,613,5833549,454
49096,11,6,6040703,Nikolassee,2019,1,7,6,2,6,4,1,0,1,1,0,0,0,1,786714,3754,5817042,137
49097,11,7,7030303,Grazer Platz,2019,2,15,3,3,2,6,0,0,1,0,0,0,0,0,796074,3342,5822724,905
49100,11,5,5020629,B�rnicker Stra�e,2019,1,7,5,3,2,6,2,0,1,0,0,0,0,1,784856,2612,5826356,236
49101,11,5,5020524,Weinmeisterhornweg,2019,1,8,3,3,6,6,0,0,1,1,0,0,0,0,783505,6502,5826701,339
49105,11,2,2050602,Samariterviertel,2019,1,7,5,3,6,2,0,0,1,1,0,0,0,1,803480,5815,5827610,536
49106,11,5,5020524,Weinmeisterhornweg,2019,2,18,1,3,5,2,2,0,1,0,0,0,0,0,783514,277,5826711,666
49109,11,7,7050502,Fritz-Werner-Stra�e,2019,1,17,5,3,3,2,2,0,1,0,0,0,1,0,798180,8157,5818901,148
49111,11,7,7040402,Lindenhofsiedlung,2019,1,18,5,3,2,6,2,0,1,0,0,0,1,0,796480,9733,5822570,435
49114,11,4,4051551,Brabanter Platz,2019,1,16,5,2,0,1,2,0,0,0,1,0,0,0,792740,7092,5823246,873
49115,11,4,4010101,Jungfernheide,2019,2,12,6,3,2,6,0,0,0,0,0,1,1,0,791170,5822,5829471,679
49118,11,1,1011204,Leipziger Stra�e,2019,3,13,5,3,2,6,0,0,1,0,0,0,0,0,798627,798,5827029,868
49121,11,4,4041133,G�terbahnhof Grunewald,2019,1,17,4,3,2,6,2,0,1,0,0,0,0,1,790546,8448,5825193,698
49124,11,1,1011202,Unter den Linden Nord,2019,1,12,4,3,2,6,0,0,1,0,0,0,0,1,798077,2826,5827663,242
49125,11,3,3020209,Niedersch�nhausen,2019,1,13,4,3,5,3,0,0,1,0,0,1,0,0,798248,2264,5834742,934
49128,11,12,12103219,Sch�fersee,2019,1,17,4,3,6,2,2,0,1,1,0,0,0,1,795752,5838,5832685,938
49131,11,9,9020601,Schnellerstra�e,2019,1,6,4,3,3,6,2,0,1,0,1,0,0,1,806114,301,5821639,806
49132,11,1,1033203,Humboldthain Nordwest,2019,2,6,7,2,5,2,2,0,1,0,1,0,0,0,796187,744,5830191,845
49135,11,9,9010302,Sp�thsfelde,2019,1,5,4,3,3,6,2,0,1,0,0,1,0,1,804140,4607,5819917,884
49136,11,1,1011202,Unter den Linden Nord,2019,1,11,1,3,5,3,0,1,0,0,0,0,0,1,796921,4533,5827454,815
49140,11,2,2050602,Samariterviertel,2019,1,8,4,3,5,3,1,1,1,0,0,0,0,1,803093,6713,5827633,678
49141,11,12,12301203,Wittenau S�d,2019,2,15,6,3,5,3,0,0,1,0,0,0,1,0,793511,9984,5835884,649
49144,11,3,3061429,Greifswalder Stra�e,2019,1,7,4,3,6,4,2,0,1,1,0,0,0,1,801393,3114,5831071,626
49147,11,4,4010103,Paul-Hertz-Siedlung,2019,1,7,4,3,2,6,2,0,1,0,0,0,0,1,791735,854,5829205,125
49150,11,6,6040703,Nikolassee,2019,1,7,4,2,6,2,2,0,1,1,0,0,0,1,786504,3303,5816947,168
49151,11,6,6030605,Botanischer Garten,2019,2,18,3,3,2,6,2,0,1,0,0,0,0,0,792194,48,5819596,86
49154,11,6,6040702,D�ppel,2019,1,9,3,3,2,6,0,0,1,0,0,0,0,1,785340,9671,5815774,97
49155,11,7,7050501,Rathausstra�e,2019,2,10,7,3,2,6,0,0,1,0,0,0,0,0,798056,2623,5819439,925
49158,11,1,1011105,N�rdlicher Landwehrkanal,2019,1,19,3,3,2,6,2,0,1,0,0,0,0,1,796409,8992,5826288,542
49160,11,2,2050802,Boxhagener Platz,2019,1,19,3,3,2,6,2,1,0,0,0,0,0,1,802102,7227,5827496,5
49163,11,7,7050502,Fritz-Werner-Stra�e,2019,1,17,3,3,5,3,2,0,1,0,0,0,0,1,797466,308,5817929,806
49164,11,10,10010309,Springpfuhl,2019,2,10,4,2,5,3,0,1,1,0,0,0,0,0,807954,8651,5828854,359
49166,11,4,4041239,Stadion Wilmersdorf,2019,3,14,4,3,2,6,0,0,1,0,0,0,0,0,792130,1715,5823763,912
49169,11,3,3051017,Rennbahnstra�e,2019,1,12,3,3,4,1,0,0,1,0,0,0,0,1,802930,303,5833241,277
49172,11,7,7040401,Neu-Tempelhof,2019,1,19,2,3,6,4,2,0,0,1,0,0,1,1,797814,86,5822706,21
49173,11,6,6040701,Wannsee,2019,1,17,4,2,0,1,2,0,0,0,1,0,0,1,783909,6547,5815944,997
49178,11,7,7050501,Rathausstra�e,2019,1,12,1,3,6,2,0,0,1,1,0,0,0,0,797698,7809,5818765,902
49179,11,4,4041134,Bismarckallee,2019,2,5,6,3,0,1,1,0,0,0,1,0,0,1,790960,1329,5824654,6
49182,11,2,2050602,Samariterviertel,2019,1,11,7,3,5,2,0,0,1,0,0,0,0,0,802180,849,5827729,145
49183,11,1,1011202,Unter den Linden Nord,2019,1,11,1,3,5,3,0,1,0,0,0,0,0,1,796921,547,5827454,83
49186,11,12,12103218,Teichstra�e,2019,1,7,6,3,2,2,1,0,1,0,0,0,0,1,794572,7818,5833802,732
49188,11,9,9010302,Sp�thsfelde,2019,1,19,6,3,2,6,2,0,1,0,0,0,0,0,803146,278,5820827,157
49189,11,7,7070701,Kettinger Stra�e/Schillerstra�e,2019,2,12,6,3,5,2,0,1,1,0,0,0,0,0,799228,1451,5816332,377
49192,11,3,3040818,Pankow S�d,2019,1,18,6,3,5,3,2,1,1,0,0,0,0,1,800139,2984,5832459,26
49194,11,3,3040513,Sch�nholz,2019,1,20,4,3,5,3,2,1,0,0,0,0,1,0,798015,5569,5833645,408
49196,11,7,7020203,Kaiser-Wilhelm-Platz,2019,1,18,6,3,1,5,2,1,1,0,0,0,0,1,795657,4056,5823950,336
49199,11,6,6010101,Fichtenberg,2019,1,18,5,3,5,2,2,1,1,0,0,0,0,0,793138,1878,5820207,459
49200,11,4,4030417,Schlo�stra�e,2019,2,2,7,2,0,1,2,0,1,0,0,0,0,1,790824,1786,5826587,653
49202,11,1,1011303,Alexanderplatzviertel,2019,3,17,7,3,2,7,1,1,1,0,0,0,0,0,798880,6566,5828063,986
49205,11,10,10010206,Ringkolonnaden,2019,1,18,4,3,2,6,2,0,1,0,0,0,0,1,808464,972,5832381,88
49206,11,1,1022202,Heidestra�e,2019,2,16,5,3,0,6,0,1,1,0,0,0,0,0,795888,3757,5829545,262
49209,11,7,7030303,Grazer Platz,2019,1,13,4,3,5,3,0,0,1,0,0,1,0,0,795168,5542,5822981,695
49210,11,3,3061126,Arnimplatz,2019,1,14,2,3,0,2,1,1,1,0,0,0,0,0,799219,3518,5831430,524
