OBJECTID,LAND,BEZ,LOR,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
3187,11,8,8010510,8100521,2020,1,11,4,2,3,6,0,0,1,0,0,1,0,1,802599,5332,5821795,373
3198,11,4,4041137,4400727,2020,1,2,3,2,9,1,2,0,0,0,0,1,0,1,791264,2064,5824629,955
3215,11,4,4041239,4400830,2020,1,7,1,3,0,1,1,0,0,0,0,0,1,1,792294,8083,5823598,115
3224,11,2,2040502,2400521,2020,1,22,6,2,1,5,2,0,1,0,0,0,0,0,801024,2746,5827862,923
3241,11,4,4041137,4400727,2020,1,17,1,3,0,1,2,0,0,0,1,0,0,1,791889,2861,5824003,6
3252,11,7,4051655,4501153,2020,1,14,6,3,2,6,0,0,1,0,0,0,0,0,794432,645,5823090,628
3274,11,7,7010104,7100205,2020,1,13,2,3,0,4,0,0,0,1,0,0,1,0,796076,5121,5825501,675
3290,11,7,7040401,7400721,2020,1,15,7,2,1,1,0,0,1,0,0,0,0,0,797817,4941,5822978,17
3299,11,3,3020209,3200206,2020,1,13,5,3,2,6,0,0,1,0,0,0,0,0,797966,8713,5834349,85
3303,11,1,1044102,1400940,2020,1,9,1,3,5,3,0,0,1,0,0,0,0,0,795861,6732,5832069,458
3317,11,9,9010101,9100101,2020,2,12,7,3,2,2,0,0,0,0,1,0,1,1,802583,1096,5825087,422
3319,11,4,4051656,4501151,2020,1,17,5,3,2,1,2,0,1,0,0,0,0,0,793807,1471,5822990,931
3331,11,4,4030417,4300414,2020,1,11,5,3,0,1,0,1,0,0,0,0,0,0,790874,987,5826433,469
3355,11,4,4041134,4400726,2020,1,15,2,3,5,3,0,0,1,0,0,1,0,0,791232,2324,5824618,511
3359,11,1,1011102,1100102,2020,1,15,5,3,5,2,0,0,1,0,0,0,0,1,796455,757,5827391,142
3375,11,2,2040503,2400522,2020,1,18,4,3,3,6,1,1,0,0,0,0,0,0,801378,4835,5827810,514
3379,11,12,12214125,12200414,2020,1,14,5,2,3,7,0,0,1,0,0,1,0,1,792044,2355,5831732,822
3391,11,1,1011303,1100310,2020,1,10,6,3,5,2,0,0,1,0,0,0,0,0,799768,5723,5828638,757
3407,11,2,2050803,2500835,2020,1,21,4,3,6,7,2,1,0,1,0,0,0,0,802187,5376,5826095,955
3435,11,5,5020629,5200634,2020,1,15,4,3,2,6,0,0,1,0,0,0,1,1,785178,3964,5826270,143
3446,11,3,3061435,3601452,2020,1,7,3,3,0,7,0,0,1,0,0,0,1,1,801405,1689,5829211,406
3468,11,6,6040701,6400735,2020,1,11,4,3,5,2,0,0,1,0,0,0,0,0,783890,4577,5815953,473
3483,11,7,7060601,7601236,2020,1,9,3,2,6,2,0,0,0,1,0,1,0,0,796608,1696,5815999,343
3511,11,3,3050925,3500936,2020,1,7,3,3,3,6,0,1,1,0,0,0,0,0,801552,2215,5831199,582
3522,11,3,3051017,3501037,2020,1,17,3,3,5,3,2,0,1,0,0,0,0,1,802859,8699,5833044,121
3539,11,1,1011303,1100310,2020,1,13,1,3,5,3,0,0,1,0,0,0,0,0,799118,977,5827655,463
3548,11,1,1011201,1100205,2020,1,18,5,3,4,6,2,1,0,0,0,0,1,0,797028,3594,5826728,597
3561,11,4,4020310,4200308,2020,1,6,3,3,3,6,2,0,1,0,0,1,0,1,790458,6486,5828436,725
3586,11,11,11030721,11300722,2020,1,4,2,3,6,2,2,0,1,1,0,0,0,1,803722,92,5827570,12
3597,11,6,6030503,6300527,2020,1,3,1,3,3,6,2,0,1,0,0,0,1,1,789808,7132,5818015,711
3621,11,7,7040405,7400927,2020,1,9,4,3,3,6,0,0,1,0,0,1,0,0,798049,1699,5822320,881
3625,11,4,4030417,4300414,2020,1,15,7,3,1,5,0,0,1,0,1,0,0,0,791597,6109,5826550,18
3637,11,12,12301203,12500930,2020,1,15,6,3,3,6,0,0,1,0,0,0,0,0,794257,3212,5834723,198
3639,11,1,1011303,1100310,2020,1,3,4,2,6,4,2,0,1,1,0,0,0,0,799335,348,5827943,997
3659,11,1,1011303,1100310,2020,1,16,6,3,2,6,2,0,1,0,0,0,0,1,799595,725,5828279,342
3670,11,4,4051551,4501148,2020,1,22,5,3,2,6,2,0,1,0,0,0,0,0,792594,6389,5823376,737
3694,11,3,3061332,3701657,2020,1,6,4,3,5,2,2,0,1,0,0,0,0,0,799987,5251,5830197,245
3698,11,12,12231101,12400723,2020,1,11,5,3,5,3,0,1,1,0,0,0,0,1,792115,943,5837984,848
3710,11,3,3020209,3200206,2020,1,16,5,2,0,7,0,1,0,0,0,0,0,0,798320,8847,5834768,94
3725,11,4,4010101,4100101,2020,1,17,3,3,2,6,2,0,1,0,0,0,0,0,791223,602,5829667,258
3750,11,1,1011201,1100205,2020,1,8,5,3,2,6,0,0,1,0,0,0,0,0,797171,9247,5826753,41
3775,11,4,4010102,4100101,2020,1,14,1,2,2,6,0,0,1,0,0,0,0,0,793319,9606,5829675,824
3779,11,12,12302211,12601031,2020,1,13,5,3,5,3,0,0,1,0,0,0,0,1,793276,149,5836659,131
3790,11,1,1011304,1100311,2020,1,17,4,3,0,5,2,1,1,0,0,0,0,1,800034,9887,5828061,909
3807,11,1,1044203,1401049,2020,1,7,3,3,1,5,1,1,1,0,0,0,0,0,795973,3359,5831518,403
3833,11,3,3020209,3200205,2020,1,12,3,3,1,5,0,1,1,0,0,0,0,1,798188,6638,5835349,635
3845,11,7,7050501,7501029,2020,1,16,3,3,6,2,1,0,0,1,0,0,1,1,797710,9623,5818790,6
3853,11,10,10010309,10100312,2020,1,12,4,3,1,5,0,0,1,0,0,0,1,1,807986,6474,5828789,724
3865,11,1,1011201,1100205,2020,1,18,3,3,0,1,2,0,1,0,1,0,0,1,797119,5843,5826744,285
3882,11,4,4030724,4300415,2020,1,17,2,3,3,6,2,0,1,0,0,1,0,0,790764,2708,5826359,639
3891,11,10,10010308,10100311,2020,1,6,6,2,0,1,2,0,0,0,1,0,0,2,808088,4889,5827457,435
3908,11,4,4020314,4200311,2020,1,19,1,3,5,3,2,0,1,0,0,1,0,0,790519,1768,5825545,669
3920,11,4,4041239,4400830,2020,1,15,6,3,2,6,0,0,1,0,0,1,0,0,792209,9302,5823675,634
3943,11,2,2050602,2500727,2020,1,22,4,3,5,3,2,0,1,0,0,0,0,0,802148,354,5827738,762
3956,11,4,4030622,4300621,2020,1,15,7,3,5,7,0,0,1,0,0,0,0,0,792127,1536,5826660,657
3965,11,4,4020313,4200311,2020,1,18,5,3,3,6,0,0,1,0,0,0,1,0,790590,2974,5826406,83
3983,11,3,3020203,3200204,2020,1,13,6,3,5,2,0,1,1,0,0,0,0,1,797167,5465,5838892,976
3996,11,9,9010402,9100409,2020,1,12,5,3,2,6,0,0,1,0,0,0,1,0,806703,7493,5818241,336
4020,11,4,4010101,4100101,2020,1,5,3,3,2,6,2,0,1,0,0,0,0,0,791154,8865,5829495,492
4024,11,5,5040935,5400942,2020,1,15,5,3,2,6,0,0,1,0,0,0,0,1,781786,9022,5824489,172
4036,11,7,7040402,7400822,2020,1,14,4,2,2,6,0,0,1,0,0,0,0,0,796528,5854,5822533,66
4046,11,7,7060604,7601341,2020,1,7,6,3,5,3,2,1,1,0,0,0,0,1,796302,5404,5815089,353
4058,11,4,4020313,4200311,2020,1,11,6,3,2,6,0,0,1,0,0,0,0,0,790730,6163,5826868,431
4074,11,3,3020209,3200206,2020,1,17,5,3,2,6,1,0,1,0,0,0,0,0,798242,5456,5834740,87
4102,11,4,4051551,4501148,2020,1,16,4,3,3,6,2,0,1,0,0,1,0,0,792914,251,5823111,335
4114,11,7,7050501,7501030,2020,1,5,3,3,5,2,2,0,1,0,0,0,0,1,797882,9324,5820434,632
4131,11,4,4010101,4100101,2020,1,6,3,3,2,6,2,0,1,0,0,0,0,0,791221,506,5829708,595
4150,11,7,7050501,7501030,2020,1,10,3,2,5,3,0,0,1,0,0,0,0,0,797936,838,5820057,136
4178,11,11,11041022,11401032,2020,1,9,4,3,5,3,0,1,1,0,0,0,0,0,805652,1458,5827389,902
4189,11,9,9010201,9100202,2020,1,7,3,3,5,3,1,1,1,0,0,0,0,1,803111,5605,5824551,75
4206,11,4,4020310,4200308,2020,1,18,1,3,2,6,2,0,1,0,0,0,0,0,790506,4651,5827523,263
4215,11,5,5020628,5200633,2020,1,16,5,3,3,6,2,0,0,0,1,0,1,0,784056,7082,5826570,292
4232,11,6,6030503,6300526,2020,1,16,6,2,6,2,2,0,1,1,0,0,0,1,789697,6317,5817950,679
4253,11,9,9010202,9100203,2020,1,18,2,3,5,3,2,0,1,0,0,0,0,0,804104,3833,5824364,861
4264,11,9,9010202,9100203,2020,1,12,2,3,5,3,0,1,1,0,0,0,0,0,804103,5957,5824364,164
4280,11,10,10030726,10300733,2020,1,12,6,2,5,2,0,0,1,0,0,0,0,0,809494,243,5827393,43
4289,11,1,1033203,1300836,2020,1,10,5,3,3,6,0,0,1,0,0,1,0,0,796268,308,5830274,135
4293,11,5,5020524,5200528,2020,1,0,1,3,5,2,2,1,1,0,0,0,0,0,783509,2175,5826705,609
4306,11,1,1011303,1100310,2020,2,0,7,3,5,2,2,0,1,0,0,0,0,0,799577,585,5828291,2
4308,11,1,1044102,1400940,2020,1,22,5,3,0,1,2,0,0,0,1,0,0,1,795879,5083,5832054,846
4320,11,7,7010104,7100206,2020,1,11,5,3,2,6,0,0,1,0,0,0,0,0,796007,5869,5824799,517
4340,11,6,6030605,6300629,2020,1,22,6,3,1,7,2,1,1,0,0,0,0,0,791476,1743,5819079,501
4364,11,2,2020201,2200207,2020,1,18,4,3,2,6,2,0,1,0,0,0,0,0,797146,8341,5825586,831
4368,11,7,7050502,7501133,2020,1,20,5,3,5,3,2,0,1,0,0,0,0,1,798153,95,5819054,333
4380,11,7,7050501,7501029,2020,1,6,6,3,6,2,2,0,1,1,0,0,0,1,797789,6512,5818931,35
4396,11,10,10010204,10100206,2020,1,18,4,3,5,2,2,0,1,0,0,0,0,1,808900,4403,5833405,518
4424,11,3,3061434,3601451,2020,1,7,4,2,5,3,2,1,0,0,0,0,1,1,800847,9871,5830332,43
4443,11,1,1044102,1400940,2020,1,17,1,3,5,3,2,1,1,0,0,0,0,0,795877,1448,5832069,85
4447,11,12,12103218,12100205,2020,1,14,5,3,2,6,0,0,1,0,0,0,0,1,794473,9187,5834325,969
4458,11,4,4010101,4100101,2020,1,10,4,3,5,3,0,0,1,0,0,1,0,0,791137,5948,5829407,26
4474,11,9,9010202,9100203,2020,1,8,3,3,5,3,0,1,1,0,0,0,0,1,804104,6469,5824365,95
4501,11,7,7030303,7300619,2020,1,16,3,3,2,2,2,0,1,0,0,0,0,1,796051,7141,5822750,978
