OBJECTID,LAND,BEZ,LOR_ab_2021,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstige,USTRZUSTAND,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
219249,11,3,3701658,2021,11,18,2,3,0,3,2,0,1,0,1,0,0,1,800202,742,5829640,204
219248,11,7,7501134,2021,12,19,7,3,6,2,2,0,1,1,0,0,0,1,798479,5317,5819049,219
219247,11,4,4100101,2021,12,17,4,3,5,2,2,0,1,0,0,0,0,0,793352,6128,5829680,195
219246,11,4,4501041,2021,12,15,7,3,5,2,1,0,1,0,1,0,0,1,792950,395,5825362,81
219243,11,11,11501339,2021,12,9,5,3,3,6,0,0,1,0,0,0,1,2,807182,1,5825602,793
219241,11,1,1100308,2021,12,22,5,3,1,5,2,0,1,0,0,0,0,1,796605,7279,5829088,391
219240,11,10,10200524,2021,12,5,1,3,1,5,2,0,1,0,0,0,0,2,812275,3654,5830609,751
219239,11,7,7200409,2021,12,20,7,2,5,7,2,0,1,0,0,0,0,2,795262,58,5824374,901
219238,11,1,1300733,2021,11,22,3,3,2,6,2,0,1,0,0,0,0,1,797163,3962,5831385,88
219237,11,2,2200208,2021,12,7,2,3,6,4,2,0,1,1,0,0,0,0,797529,4622,5824997,119
219235,11,11,11100204,2021,12,19,3,3,2,2,2,0,1,0,0,0,0,1,805955,9268,5833701,602
219233,11,7,7100205,2021,12,13,7,3,3,6,0,0,1,0,1,0,0,1,796467,22,5824883,82
219230,11,7,7200307,2021,12,10,3,3,6,7,0,0,0,1,0,0,1,0,794935,9206,5824544,661
219229,11,7,7100101,2021,12,19,4,3,6,2,2,0,1,1,0,0,0,0,794592,1948,5825505,265
219228,11,1,1100205,2021,12,19,4,3,5,7,2,0,1,0,0,0,0,0,796971,936,5826718,537
219226,11,7,7300516,2021,12,18,5,3,6,7,2,0,0,1,0,0,1,0,793975,8208,5821706,891
219225,11,6,6400841,2021,12,7,5,3,6,2,2,0,1,1,0,0,0,0,789616,5637,5818717,717
219223,11,6,6400839,2021,11,15,2,3,5,3,1,0,1,0,0,0,1,1,788237,3736,5818274,27
219221,11,4,4500939,2021,12,18,4,3,5,2,1,1,1,0,0,0,0,0,792439,7595,5824095,448
219220,11,9,9100306,2021,12,21,4,2,8,1,2,0,1,0,0,0,0,0,803124,462,5820953,915
219219,11,7,7300619,2021,12,17,2,3,5,2,2,0,1,0,1,0,0,1,794980,7954,5822325,17
219217,11,4,4501042,2021,12,17,7,3,6,4,2,0,0,1,0,0,1,0,793999,8532,5826182,642
219216,11,1,1100102,2021,11,18,3,3,0,6,2,0,1,0,1,0,0,1,795066,8666,5827221,642
219215,11,9,9200715,2021,12,11,2,2,6,2,0,0,1,1,0,0,0,0,809320,9583,5818504,317
219214,11,1,1100102,2021,12,9,2,3,0,5,0,1,1,0,0,0,0,1,796973,1702,5826579,744
219213,11,3,3500934,2021,12,18,2,3,6,4,2,0,1,1,0,0,0,1,800861,7599,5831744,251
219211,11,8,8100105,2021,12,19,4,3,2,6,2,0,1,0,0,0,0,0,800969,46,5822243,603
219209,11,11,11400929,2021,12,13,5,3,5,3,0,0,1,0,0,0,0,1,805144,5837,5827041,31
219207,11,8,8300934,2021,12,18,5,3,5,2,2,0,1,0,0,0,1,1,802872,1491,5818247,365
219206,11,10,10400835,2021,12,16,2,2,6,4,2,0,1,1,0,0,0,1,811853,9804,5829751,936
219205,11,12,12601134,2021,12,15,2,3,0,7,1,0,1,0,0,0,1,0,795072,5596,5837284,16
219204,11,12,12200308,2021,12,14,5,3,5,3,0,0,1,0,0,0,0,0,792810,85,5833870,557
219203,11,2,2300417,2021,12,13,3,3,3,6,0,0,1,0,0,0,1,0,800722,271,5825637,564
219201,11,5,5200629,2021,12,10,5,3,0,3,0,0,1,0,1,0,0,0,784466,2997,5828739,713
219200,11,5,5200629,2021,12,11,6,3,5,2,0,0,1,0,0,0,0,0,784452,915,5828671,699
219198,11,1,1200522,2021,12,8,6,3,2,6,0,0,1,0,0,0,0,2,793730,713,5828121,725
219195,11,4,4501153,2021,12,17,2,3,6,4,2,0,1,1,0,0,0,0,794184,6225,5823924,224
219194,11,6,6300524,2021,12,9,3,2,1,5,0,0,1,0,0,0,0,0,788276,492,5817552,956
219193,11,5,5100209,2021,12,18,4,3,5,2,2,1,1,0,0,0,0,0,783320,2118,5830271,905
219192,11,12,12500930,2021,12,21,2,3,5,3,2,0,1,0,0,0,0,1,793947,866,5835309,195
219190,11,1,1100310,2021,12,12,6,3,1,5,0,1,1,0,0,0,0,0,799021,6282,5828725,878
219189,11,3,3601451,2021,12,17,5,2,5,3,2,1,1,0,0,0,0,0,801364,4615,5829700,555
219188,11,7,7300516,2021,12,18,3,3,5,2,2,1,1,0,0,0,0,0,793996,52,5821562,277
219186,11,6,6200311,2021,12,7,4,3,2,6,2,0,1,0,0,0,0,1,795778,4558,5818171,79
219185,11,8,8200832,2021,12,18,6,3,5,2,2,0,1,0,1,0,0,0,801616,9395,5817424,937
219183,11,8,8100102,2021,12,17,7,3,2,1,2,0,1,0,0,0,0,2,800498,2262,5823504,97
219180,11,5,5100316,2021,12,16,3,3,0,1,2,1,0,0,0,0,0,0,784841,5142,5829023,437
219179,11,9,9501940,2021,12,8,4,3,1,1,1,0,1,0,0,0,0,1,811736,4895,5821611,547
219178,11,9,9300920,2021,12,17,3,3,6,4,2,0,1,1,0,0,0,0,808563,9402,5817462,519
219177,11,6,6100102,2021,12,14,6,3,2,6,0,0,1,0,0,0,0,0,793625,5291,5820608,89
219175,11,3,3501038,2021,12,14,5,2,6,4,0,1,0,1,0,0,0,0,803615,186,5832300,29
219174,11,1,1300836,2021,12,16,1,3,2,6,2,0,1,0,0,0,0,1,796843,9981,5830310,166
219172,11,1,1401046,2021,11,20,3,2,6,2,2,0,0,1,0,0,1,1,794633,3388,5829886,316
219170,11,8,8100208,2021,12,11,3,3,6,2,0,0,1,1,0,0,0,2,801643,43,5822555,927
219169,11,11,11200512,2021,12,16,2,3,5,3,1,1,1,0,0,0,0,1,804119,9972,5831901,379
219168,11,2,2100106,2021,12,11,1,3,2,6,0,0,1,0,0,0,0,0,799824,7533,5825702,858
219167,11,11,11501340,2021,12,12,5,3,1,5,0,1,1,0,0,0,0,0,807478,4507,5825672,24
219166,11,8,8100521,2021,12,0,3,3,3,6,2,0,1,0,0,1,0,1,802117,7878,5822036,586
219164,11,12,12500929,2021,12,13,7,3,0,7,0,0,1,0,0,0,1,1,794060,3812,5838160,831
219163,11,6,6200422,2021,11,15,3,3,5,3,0,1,1,0,0,0,0,1,794732,667,5816291,921
219162,11,10,10100208,2021,12,5,2,3,6,2,2,0,1,1,0,0,0,1,808512,8496,5832430,605
219161,11,2,2300417,2021,12,16,2,3,6,4,2,0,1,1,0,0,0,1,800598,532,5825202,629
219159,11,1,1100103,2021,12,15,3,3,2,1,0,0,1,0,0,0,0,1,795181,1899,5825903,644
219157,11,6,6300527,2021,12,23,5,3,1,6,2,0,1,0,0,0,0,1,790141,1196,5817517,451
219154,11,6,6300525,2021,12,11,2,2,2,6,0,0,1,0,0,0,0,1,788895,757,5816149,104
219153,11,1,1100207,2021,12,22,3,2,5,3,2,0,1,0,1,0,0,1,797902,2139,5826578,639
219152,11,8,8100415,2021,12,7,4,2,6,2,2,0,1,1,0,0,0,1,802031,5917,5823469,903
219151,11,9,9200716,2021,12,18,2,3,2,6,2,1,1,0,0,0,0,0,808926,2858,5819367,187
219149,11,9,9100407,2021,12,7,5,3,1,5,1,0,1,0,0,0,1,1,804749,9737,5821630,333
219148,11,1,1300835,2021,12,15,5,3,0,2,0,1,0,0,0,0,1,0,797543,7486,5829414,747
219146,11,10,10100103,2021,12,8,6,3,5,3,0,0,1,0,0,0,0,2,809126,4824,5833832,585
219143,11,1,1100310,2021,12,19,3,3,5,2,2,0,1,0,0,0,0,0,799244,9213,5828468,799
219142,11,11,11300620,2021,12,8,5,3,5,7,1,0,1,0,0,0,1,0,803671,124,5829503,973
219141,11,8,8100521,2021,12,6,2,3,5,2,2,0,1,0,0,0,0,1,803663,712,5822281,351
219140,11,2,2100101,2021,12,9,4,3,6,2,0,0,1,1,0,0,0,0,797386,183,5826168,983
219139,11,9,9100306,2021,12,14,2,3,2,6,0,0,1,0,0,0,1,1,803847,2501,5820991,857
219137,11,6,6300528,2021,12,14,5,3,6,4,0,0,1,1,0,0,0,0,790149,6988,5815444,686
219136,11,12,12200412,2021,12,11,7,3,6,2,0,0,1,1,0,0,0,0,790957,8978,5833786,623
219134,11,1,1100207,2021,11,19,2,3,2,6,1,0,1,0,0,0,0,1,798348,2208,5827454,837
