,year,month,weekday,accident_category,accident_scenario,number_of_accidents,mean_distance_km,mean_location_density
0,2018,1,1,2,bike_only,1,3.17549985524436,13.0
1,2018,1,1,2,car_only,9,8.748595076944918,4.444444444444445
2,2018,1,1,2,ped_car,3,10.412133205911816,9.0
3,2018,1,1,3,bike_car,6,6.7716865431919535,6.333333333333333
4,2018,1,1,3,bike_ped,1,6.64886708366452,2.0
5,2018,1,1,3,car_only,20,8.347750288677961,8.75
6,2018,1,1,3,other,2,5.61733738209626,21.5
7,2018,1,1,3,ped_car,5,6.409773153236382,7.0
8,2018,1,1,3,ped_only,2,8.022051696896535,9.0
9,2018,1,2,1,car_only,1,0.363778479023353,18.0
10,2018,1,2,2,bike_car,5,6.0314031832260575,3.0
11,2018,1,2,2,bike_only,2,1.567094256907525,9.0
12,2018,1,2,2,bike_ped,1,1.99674505471298,39.0
13,2018,1,2,2,car_only,9,10.165280448351103,5.555555555555555
14,2018,1,2,2,ped_car,8,8.046980394459824,6.5
15,2018,1,2,2,ped_only,3,9.66987125595088,4.0
16,2018,1,2,3,bike_car,24,6.438322137820568,8.583333333333334
17,2018,1,2,3,bike_only,14,5.859334060437091,7.5
18,2018,1,2,3,bike_ped,5,4.002407059259712,7.0
19,2018,1,2,3,car_only,62,7.799772280358197,9.370967741935484
20,2018,1,2,3,other,5,10.055337429571319,5.8
21,2018,1,2,3,ped_car,14,7.316833478288767,8.0
22,2018,1,2,3,ped_only,3,5.043814491290926,4.0
23,2018,1,3,1,bike_only,2,7.764056323434675,9.0
24,2018,1,3,2,bike_car,1,5.44347428703856,10.0
25,2018,1,3,2,bike_only,2,4.840941826239165,2.0
26,2018,1,3,2,bike_ped,2,11.4385421711939,7.5
27,2018,1,3,2,car_only,5,12.522566795858664,8.4
28,2018,1,3,2,ped_car,13,8.38141837652767,5.076923076923077
29,2018,1,3,3,bike_car,24,6.0826315387307295,6.541666666666667
30,2018,1,3,3,bike_only,6,4.772625913356368,5.833333333333333
31,2018,1,3,3,bike_ped,4,4.689172140941715,1.5
32,2018,1,3,3,car_only,60,8.250000086442993,9.1
33,2018,1,3,3,other,3,6.0641017400572395,8.0
34,2018,1,3,3,ped_car,24,7.113696040119489,10.791666666666666
35,2018,1,3,3,ped_only,1,5.72185211198434,18.0
36,2018,1,4,2,bike_car,5,8.577798871990817,6.4
37,2018,1,4,2,bike_only,1,13.5494609586115,3.0
38,2018,1,4,2,bike_ped,1,7.9059374977855,1.0
39,2018,1,4,2,car_only,7,8.185657078748875,8.857142857142858
40,2018,1,4,2,ped_car,18,9.533039105336416,10.444444444444445
41,2018,1,4,2,ped_only,1,12.2732441017882,2.0
42,2018,1,4,3,bike_car,31,5.5439193112365945,4.870967741935484
43,2018,1,4,3,bike_only,6,8.587506602863494,5.0
44,2018,1,4,3,bike_ped,7,6.091304721491917,5.714285714285714
45,2018,1,4,3,car_only,60,7.896891753101457,8.783333333333333
46,2018,1,4,3,other,6,4.00224122010372,6.666666666666667
47,2018,1,4,3,ped_car,23,8.131113605970267,10.130434782608695
48,2018,1,4,3,ped_only,3,5.937899760120487,16.666666666666668
49,2018,1,5,2,bike_car,6,6.297644879202075,4.666666666666667
50,2018,1,5,2,car_only,8,7.220635508036988,8.125
51,2018,1,5,2,other,1,12.4252218401076,2.0
52,2018,1,5,2,ped_car,18,10.972401885425922,9.444444444444445
53,2018,1,5,2,ped_only,1,9.01353366699797,7.0
54,2018,1,5,3,bike_car,34,6.161670181009138,9.264705882352942
55,2018,1,5,3,bike_only,6,6.234972600024274,8.333333333333334
56,2018,1,5,3,bike_ped,1,3.64687099735781,43.0
57,2018,1,5,3,car_only,63,8.477533104685417,9.206349206349206
58,2018,1,5,3,other,3,5.951686820036031,14.0
59,2018,1,5,3,ped_car,31,8.564536940319048,8.67741935483871
60,2018,1,5,3,ped_only,6,7.035303907818019,12.333333333333334
61,2018,1,6,2,bike_car,2,12.09205880043039,7.0
62,2018,1,6,2,bike_only,2,5.117402685187095,7.5
63,2018,1,6,2,car_only,9,10.527083211191329,7.888888888888889
64,2018,1,6,2,ped_car,5,8.845413840634825,19.2
65,2018,1,6,2,ped_only,2,8.14799648614342,5.0
66,2018,1,6,3,bike_car,18,4.636633826322106,13.222222222222221
67,2018,1,6,3,bike_only,7,8.777724376555556,4.857142857142857
68,2018,1,6,3,bike_ped,1,4.2269478528235,18.0
69,2018,1,6,3,bike_ped_car,1,2.70149860152747,8.0
70,2018,1,6,3,car_only,40,7.424280635471554,9.575
71,2018,1,6,3,other,1,12.0821669961896,3.0
72,2018,1,6,3,ped_car,20,9.576510990722449,5.85
73,2018,1,6,3,ped_only,1,10.4299202537402,7.0
74,2018,1,7,2,bike_car,3,4.33315567949315,31.333333333333332
75,2018,1,7,2,car_only,3,9.156536153770867,8.666666666666666
76,2018,1,7,2,ped_car,4,8.131153983798715,4.5
77,2018,1,7,3,bike_car,9,6.3012991774117255,6.888888888888889
78,2018,1,7,3,bike_only,2,2.71624158939836,10.0
79,2018,1,7,3,bike_ped,2,3.197187808350675,13.0
80,2018,1,7,3,car_only,39,6.783899667137973,10.128205128205128
81,2018,1,7,3,other,2,4.197938235883545,2.0
82,2018,1,7,3,ped_car,8,5.918600344533277,14.0
83,2018,1,7,3,ped_only,4,6.6119509318852225,6.5
84,2018,2,1,2,bike_car,3,12.981148356966784,2.0
85,2018,2,1,2,car_only,5,8.293284179049007,6.8
86,2018,2,1,2,ped_car,3,11.280833671828264,3.6666666666666665
87,2018,2,1,3,bike_car,3,4.053403386532313,25.333333333333332
88,2018,2,1,3,bike_only,2,6.0464716424973295,9.0
89,2018,2,1,3,car_only,28,8.023245008374499,8.571428571428571
90,2018,2,1,3,other,1,5.84513341289643,4.0
91,2018,2,1,3,ped_car,6,9.484714496158409,5.0
92,2018,2,1,3,ped_only,1,4.28973123334185,4.0
93,2018,2,2,1,ped_only,2,5.90710265791564,10.5
94,2018,2,2,2,bike_car,6,7.442276365260768,2.8333333333333335
95,2018,2,2,2,bike_only,1,9.76420765937532,3.0
96,2018,2,2,2,car_only,9,9.87601044868212,6.888888888888889
97,2018,2,2,2,other,2,6.64403674446146,2.5
98,2018,2,2,2,ped_car,4,11.808108828739798,14.5
99,2018,2,2,2,ped_only,1,6.22253293225501,6.0
100,2018,2,2,3,bike_car,26,8.253198901526957,6.038461538461538
101,2018,2,2,3,bike_only,5,4.871661625529912,5.2
102,2018,2,2,3,bike_ped,2,5.495399222855994,9.0
103,2018,2,2,3,car_only,58,8.063297220767804,8.448275862068966
104,2018,2,2,3,ped_car,14,8.23705535869341,11.0
105,2018,2,2,3,ped_only,2,10.539784594979535,3.0
106,2018,2,3,2,bike_car,4,5.8774999626068976,14.75
107,2018,2,3,2,car_only,5,9.974213099715127,8.0
108,2018,2,3,2,ped_car,7,10.474600718650091,5.714285714285714
109,2018,2,3,2,ped_only,1,13.5672371873967,9.0
110,2018,2,3,3,bike_car,21,6.423026323529092,11.714285714285714
111,2018,2,3,3,bike_only,3,4.320559634741326,9.0
112,2018,2,3,3,bike_ped,2,8.139067394657314,1.0
113,2018,2,3,3,car_only,47,7.482594643729092,8.957446808510639
114,2018,2,3,3,other,2,6.300563528883755,5.0
115,2018,2,3,3,ped_car,14,8.040785615038013,7.714285714285714
116,2018,2,3,3,ped_only,3,6.534790363241236,4.0
117,2018,2,4,2,bike_car,4,7.283668399837945,8.75
118,2018,2,4,2,bike_ped,1,4.25426883890583,48.0
119,2018,2,4,2,car_only,8,8.7747262901877,7.625
120,2018,2,4,2,other,2,8.422533646001504,2.5
121,2018,2,4,2,ped_car,5,7.770619880755833,3.6
122,2018,2,4,2,ped_only,2,9.533022996587086,7.0
123,2018,2,4,3,bike_car,16,5.344003886971278,10.5
124,2018,2,4,3,bike_only,7,4.643340733426298,5.857142857142857
